Game_ID,Prompt,Color,Category,Response,Response_Probability,Response_Surprisal,Correct_Answer,Probability_Correct,Surprisal_Correct,Correct
4,"['BAT', 'IRON', 'SPIDER']",purple,___ MAN SUPERHEROES,TENOR,4.524667929217685e-06,17.75375665435495,SUPER,2.032518153782803e-07,22.23022842617669,False
5,"['HULU', 'NETFLIX', 'PEACOCK']",yellow,STREAMING SERVICES,POM,5.236716788203921e-06,17.542905986171842,PRIME,4.954382006872038e-07,20.94479155255654,False
5,"['KETCHUP', 'MAYO', 'RELISH']",green,CONDIMENTS,POM,1.2346730727585964e-05,16.305511391128057,TARTAR,1.8709351934376173e-07,22.34973707769347,False
5,"['BLUE', 'DOWN', 'GLUM']",blue,SYNONYMS FOR SAD,POM,1.9215016436646692e-05,15.667406263945098,LOW,6.93641140969703e-06,17.13737909966762,False
5,"['GREEN', 'MUSTARD', 'PLUM']",purple,CLUE CHARACTERS,POM,1.4794347407587338e-05,16.0445944151204,SCARLET,2.2394489462840284e-07,22.09035288740503,False
6,"['BOARDWALK', 'CHANCE', 'GO']",yellow,MONOPOLY SQUARES,EYE,6.611107892240398e-07,20.52860460477699,JAIL,9.250832100349271e-09,26.687769713972926,False
6,"['BABY', 'MIDNIGHT', 'POWDER']",green,SHADES OF BLUE,TENOR,1.3986375506647164e-06,19.44754642498204,ROYAL,3.177788130415138e-07,21.58547372372547,False
6,"['COMMON', 'FUTURE', 'ICE CUBE']",blue,RAPPERS,TENOR,1.119297508012096e-06,19.76897501532764,Q-TIP,3.5216226024203934e-07,21.43725635435808,False
6,"['SEA', 'SIN', 'SISTER']",purple,MEMBERS OF A SEPTET,POM,7.741691661067307e-06,16.978919720736524,WONDER,7.741691661067307e-06,16.978919720736524,False
7,"['ANKLE', 'KNEE', 'SHIN']",yellow,LEG PARTS,STOOGE,1.321757054029149e-06,19.529111543126813,THIGH,1.6239340538959368e-08,25.875931711581373,False
7,"['CALF', 'CUB', 'JOEY']",green,BABY ANIMALS,CHEEK,7.44453984680149e-07,20.357313986828473,KID,7.44453984680149e-07,20.357313986828473,False
7,"['CAN', 'HEAD', 'JOHN']",blue,SLANG FOR TOILET,CHEEK,1.2803775462089106e-06,19.574999287435116,THRONE,8.967762710199167e-07,20.088748559724312,False
7,"['CRAY', 'JELLY', 'SILVER']",purple,___ FISH THAT AREN’T FISH,CHEEK,1.2058837910444709e-06,19.661477685437635,STAR,1.7528888918150187e-07,22.443762111529708,False
8,"['BACKGAMMON', 'CHECKERS', 'CHESS']",yellow,BOARD GAMES,POM,2.7419796424510423e-06,18.476350709309862,GO,1.7883584746414272e-07,22.414860711945927,False
8,"['FULL', 'KING', 'QUEEN']",green,MATTRESS SIZES,WOLF,4.0392663436250587e-07,21.23940338572235,TWIN,3.07519570696968e-07,21.6328184370149,False
8,"['CHERRY', 'FIRE TRUCK', 'RUBY']",blue,THINGS THAT ARE RED,KING,2.4329990537808044e-06,18.64883281012716,STOP SIGN,3.900118450417267e-09,27.93383491328457,False
8,"['CRYPTOGRAPHY', 'FLORIDA', 'LOCKSMITH']",purple,THINGS WITH KEYS,PIT,2.588106553957914e-06,18.559671554118115,PIANO,1.8510956323325445e-08,25.68704532865111,False
9,"['CRICKET', 'FENCING', 'POLO']",yellow,SPORTS,KING,3.0859262096782913e-06,18.305865004565227,SQUASH,7.153436731854868e-10,30.380644425194134,False
9,"['CAMI', 'HALTER', 'TANK']",green,TOPS,PIT,4.534192612482002e-06,17.750722891264815,TEE,2.7792782475444255e-07,21.778786386975185,False
9,"['BEET', 'CARROT', 'CORN']",blue,VEGETABLES,PIT,1.6890139704628382e-06,19.175387308068178,ONION,7.407070370391011e-07,20.364593620714036,False
9,"['ANT', 'BEETLE', 'MANTIS']",purple,INSECTS,PIT,1.3616815977002261e-06,19.486179172230084,TERMITE,4.2789267240550544e-07,21.156247690963514,False
10,"['DATE', 'KIWI', 'LEMON']",yellow,FRUIT,MOUTH,5.107609013066394e-06,17.578920478210623,ORANGE,5.107609013066394e-06,17.578920478210623,False
10,"['CHAD', 'GEORGIA', 'JORDAN']",green,COUNTRIES,MOUTH,1.1892149814229924e-05,16.359630931264864,TOGO,1.790041714855306e-08,25.73543155087549,False
10,"['CRANE', 'JAY', 'SWALLOW']",blue,BIRDS,MOUTH,7.352249667746946e-06,17.053382810816842,TURKEY,4.032730771541537e-07,21.24173957077299,False
10,"['FISH', 'GOAT', 'SCALES']",purple,ZODIAC SYMBOLS,MOUTH,9.456118277739733e-06,16.69032048837288,TWINS,4.950046559315524e-07,20.94605456920561,False
11,"['CARDAMOM', 'CLOVE', 'CORIANDER']",yellow,SPICES BEGINNING WITH “C”,AMIGO,8.557539104003808e-07,20.156300684510928,CUMIN,1.7716081046614818e-08,25.75036525678099,False
11,"['BOO', 'HONEY', 'SUGAR']",green,TERMS OF ENDEARMENT,EYE,6.443357278840267e-07,20.56568407098559,SWEETIE,1.4051450003549348e-09,29.406633840622522,False
11,"['AIRPLANE', 'ANGEL', 'BIRD']",blue,THINGS WITH WINGS,NOSE,9.217887395607249e-07,20.049060520185407,PEGASUS,1.9122862227050064e-07,22.318198188396735,False
11,"['BABY', 'GINGER', 'POSH']",purple,SPICE GIRLS,AMIGO,1.5511255924138823e-06,19.29825306527314,SCARY,3.494212208465797e-08,24.770457531266516,False
12,"['FLOCK', 'PACK', 'POD']",yellow,ANIMAL GROUP NAMES,POM,3.0417768357438035e-06,18.3266542577397,SCHOOL,4.873513814729336e-10,30.93431861493685,False
12,"['ENVY', 'GREED', 'LUST']",green,DEADLY SINS,POM,2.472626420058077e-06,18.62552428456697,PRIDE,5.9500710136717316e-08,24.0025178721135,False
12,"['LORIS', 'SLOTH', 'SNAIL']",blue,SLOW ANIMALS,POM,2.968085482280003e-06,18.36203592646063,TORTOISE,1.1711893677102125e-08,26.34745039737709,False
12,"['COT', 'SEC', 'SIN']",purple,TRIG FUNCTIONS,POM,3.4474487620173022e-06,18.1460394595959,TAN,1.152909703705518e-06,19.72628904429418,False
13,"['FRONTIER', 'SPIRIT', 'UNITED']",yellow,AIRLINES,EYE,3.255647243349813e-06,18.228624180481745,VIRGIN,4.5690114802710013e-07,21.06161459669051,False
13,"['BETA', 'CHI', 'DELTA']",green,GREEK LETTERS,KING,1.673201495577814e-06,19.188957376687554,IOTA,3.7552996445811004e-07,21.344568635698685,False
13,"['GNAT', 'GNAW', 'GNOCCHI']",blue,SILENT “G”,POM,7.400810773106059e-06,17.04388523989803,GNOME,1.4710193063649513e-08,26.018608577758233,False
13,"['GNU', 'KNEW', 'NEW']",purple,HOMOPHONES,LAB,2.4051375930866925e-06,18.66544913928491,NU,2.022715534621966e-06,18.915275129134848,False
14,"['BUNK', 'CANOPY', 'MURPHY']",yellow,BEDS,TENOR,2.555530727477162e-06,18.57794563104322,TRUNDLE,9.365691653329122e-07,20.026111123242227,False
14,"['JONAS', 'MARX', 'WARNER']",green,FAMOUS BROTHERS,POM,6.1898158492113e-06,17.30167208030169,WRIGHT,1.539021639018756e-07,22.63148314775946,False
14,"['ACCORD', 'CIVIC', 'PASSPORT']",blue,HONDAS,TENOR,2.4002181362448027e-06,18.668403042749656,PILOT,2.3370103008346632e-07,22.028832571113334,False
14,"['CRASH', 'LINK', 'MARIO']",purple,VIDEO GAME CHARACTERS,POM,1.5833290945010958e-06,19.268607418928333,SONIC,2.0084037544165767e-07,22.247447337183583,False
15,"['CAW', 'CHIRP', 'CLUCK']",yellow,BIRD SOUNDS,TENOR,1.1700138884407352e-06,19.705042914160234,TWEET,2.1802908634072082e-07,22.128976052510453,False
15,"['BROWN', 'PINK', 'TURQUOISE']",green,COLORS,TENOR,9.131215392699232e-07,20.062689764098362,VIOLET,1.0940370032130886e-07,23.123835129509576,False
15,"['LURE', 'REEL', 'ROD']",blue,FISHING GEAR,TENOR,1.3601630826087785e-06,19.487788929344504,TACKLE,1.1393169740969711e-10,33.03111176781649,False
15,"['HOOK', 'JONES', 'SILVER']",purple,FICTIONAL PIRATES,AMIGO,9.667120366430026e-07,19.98041045928388,SPARROW,4.626517124961538e-07,21.043570133230684,False
16,"['AMERICANO', 'CAPPUCCINO', 'ESPRESSO']",yellow,COFFEE DRINKS,MOUTH,4.868669293500716e-06,17.64804106108313,LATTE,5.228530426393263e-07,20.867091156454354,False
16,"['ALMOND', 'CASHEW', 'PECAN']",green,TREE NUTS,POM,4.523671123024542e-06,17.754074522054005,WALNUT,4.523671123024542e-06,17.754074522054005,False
16,"['EMERALD', 'FOREST', 'KELLY']",blue,SHADES OF GREEN,AMIGO,3.1560232400806854e-06,18.273460740327142,OLIVE,7.558977017652069e-07,20.335305661434738,False
16,"['BEAN', 'CLEAN', 'FOX']",purple,MR. ___,MOUTH,3.4570755360618932e-06,18.14201644292625,PEANUT,3.6890560295432806e-07,21.370244963297434,False
17,"['ASCOT', 'BOLO', 'SCARF']",yellow,NECKWEAR,MOUTH,8.657872058392968e-06,16.817556088026137,TIE,9.120036281728972e-08,23.386385195304676,False
17,"['BOW', 'PORT', 'STARBOARD']",green,SHIP DIRECTIONS,MOUTH,9.379756193084177e-06,16.70201814590119,STERN,1.698360421187317e-07,22.48935400821719,False
17,"['ALL', 'ERA', 'GAIN']",blue,DETERGENTS,MOUTH,1.1148088560730685e-05,16.45284410602674,TIDE,4.647309648220244e-09,27.68095707979207,False
17,"['ACUTE', 'BERMUDA', 'LOVE']",purple,___ TRIANGLE,MOUTH,8.430103662249167e-06,16.85601819769498,RIGHT,8.430103662249167e-06,16.85601819769498,False
18,"['LAT', 'PEC', 'QUAD']",yellow,"MUSCLES,  INFORMALLY",POM,5.138246706337668e-06,17.570292408266994,TRI,5.45561569254005e-08,24.127682738269478,False
18,"['CUP', 'MEDAL', 'RIBBON']",green,AWARDS,POM,4.5310066525416914e-06,17.751736960268975,TROPHY,3.774893855279515e-07,21.337060585764497,False
18,"['GREY', 'HOUSE', 'HOWSER']",blue,TITLE TV DOCTORS,POM,4.626956069841981e-06,17.721505167875467,QUINN,4.626956069841981e-06,17.721505167875467,False
18,"['BEAR', 'BILL', 'BROWN']",purple,NFL PLAYERS,POM,4.922115294903051e-06,17.632290117656353,COMMANDER,1.0004796422435902e-06,19.930876757735717,False
19,"['CREAM', 'EGGSHELL', 'IVORY']",yellow,OFF-WHITE SHADES,AMIGO,1.2999973932892317e-06,19.553059838910805,VANILLA,1.2999973932892317e-06,19.553059838910805,False
19,"['CRUCIFIX', 'GARLIC', 'MIRROR']",green,ANTI-VAMPIRE,POM,1.664427486502973e-06,19.19654255083842,STAKE,9.432843484091791e-08,23.337732029340643,False
19,"['BEEF', 'PORK', 'POULTRY']",blue,KINDS OF MEAT,POM,2.3295037863135803e-06,18.711545893957698,VENISON,2.9555835112660134e-08,25.01198177397374,False
19,"['ROW', 'QUARREL', 'SPAT']",purple,SYNONYMS FOR ARGUMENT,POM,1.9308340597490314e-06,18.982344388186416,TIFF,3.2736657828991156e-09,28.18644581316575,False
20,"['BARLEY', 'OAT', 'RYE']",yellow,GRAINS,MOUTH,2.433439931337489e-06,18.648571406719718,SPELT,4.915172624464503e-08,24.278182673136193,False
20,"['BARON', 'EARL', 'KING']",green,ROYAL TITLES,MOUTH,2.322327873116592e-06,18.715996898788855,PRINCE,4.2835813474084716e-07,21.154679177944995,False
20,"['BROWN', 'DUKE', 'HOWARD']",blue,UNIVERSITIES,CHEEK,1.9761305338761304e-06,18.948890321614215,RICE,1.9761305338761304e-06,18.948890321614215,False
20,"['BONG', 'FORD', 'LEE']",purple,BEST DIRECTOR OSCAR WINNERS,MOUTH,2.3419465833285358e-06,18.703860399055447,STONE,5.709342190129973e-07,20.740172131181478,False
21,"['JAZZ', 'POP', 'PUNK']",yellow,MUSIC GENRES,AMIGO,2.6829177386389347e-06,18.50776574874626,RAP,2.505290979115671e-07,21.928518488037533,False
21,"['CHROME', 'EDGE', 'OPERA']",green,WEB BROWSERS,POM,3.684711828100262e-06,18.05001677508589,SAFARI,2.517568020721228e-07,21.921465906106,False
21,"['AMY', 'BETH', 'JO']",blue,“LITTLE WOMEN” SISTERS,POM,4.898341103398707e-06,17.639275327670752,MEG,1.5657701624149922e-07,22.606624207572008,False
21,"['BABY', 'JON', 'KIM']",purple,LIL ___ RAPPERS,POM,4.252887720213039e-06,17.84312580221145,WAYNE,2.1469124078521418e-07,22.151233332509573,False
22,"['BOXER', 'DALMATIAN', 'HUSKY']",yellow,DOG BREEDS,POM,2.20106880988169e-06,18.7933643218124,POODLE,3.955279481715479e-08,24.59164511935931,False
22,"['BEAK', 'MUZZLE', 'SNOUT']",green,ANIMAL NOSES,POM,2.661442522366997e-06,18.519360159773722,TRUNK,7.427676109728054e-07,20.360585757537685,False
22,"['DETOUR', 'SLOW', 'STOP']",blue,TRAFFIC SIGNS,POM,1.7194236079376424e-06,19.149643549358135,YIELD,5.571567385231901e-07,20.77541342267776,False
22,"['ASLEEP', 'BARRIER', 'BITE']",purple,SOUND ___,NOSE,9.184709028886573e-07,20.05426264665626,WAVE,1.489189145331693e-07,22.678969658644906,False
23,"['BEACH BOY', 'BEATLE', 'BYRD']",yellow,60’s BAND MEMBERS,EYE,1.9138506104354747e-06,18.995090347648226,MONKEE,1.5714353196472075e-07,22.601413772249607,False
23,"['DOUGIE', 'MACARENA', 'MASHED POTATO']",green,DANCE FADS,TENOR,1.2759539913531626e-06,19.57999226031804,TWIST,6.65398715682386e-07,20.51927758260218,False
23,"['FORTUNE', 'ROLLING STONE', 'VOGUE']",blue,MAGAZINES,PIT,1.8117831359631964e-06,19.074158289102463,WIRED,7.840623084121034e-08,23.604456451103758,False
23,"['CHAIN', 'GOLF COURSE', 'SAUSAGE']",purple,THINGS WITH LINKS,CHEEK,2.3760881049383897e-06,18.682980237309618,WEBSITE,5.446884756565851e-07,20.8080653207875,False
24,"['BOUNTY', 'CRUNCH', 'HEATH']",yellow,CANDY BARS,CHEEK,1.370094560115831e-05,16.155365007015714,MILKY WAY,1.9589793964769342e-07,22.283394440039864,False
24,"['DREAMCAST', 'GENESIS', 'SWITCH']",green,VIDEO GAME CONSOLES,CHEEK,1.324919139733538e-05,16.203736160244112,WII,3.7071058045512473e-07,21.363203372490382,False
24,"['ANVIL', 'COCHLEA', 'HAMMER']",blue,EAR PARTS,LAB,1.4290068065747619e-05,16.09462768621283,STIRRUP,5.607235920024323e-08,24.088134987762867,False
24,"['BLINK', 'MAROON', 'SUM']",purple,BAND NAMES MINUS NUMBERS,NOSE,1.2544021956273355e-05,16.28264048466546,U,1.2544021956273355e-05,16.28264048466546,False
25,"['CHEESECAKE', 'FLAN', 'MOUSSE']",yellow,DESSERTS,TENOR,2.4457323888782412e-05,15.319373921086601,TIRAMISU,2.0596063521338692e-08,25.533056134356862,False
25,"['DARN', 'FUDGE', 'HECK']",green,MILD OATHS,TENOR,2.2648942831438035e-05,15.43019676224194,SHOOT,1.0094420588302455e-07,23.239938560711305,False
25,"['ELEPHANT', 'HIPPO', 'NARWHAL']",blue,ANIMALS WITH TUSKS,POM,3.441545686655445e-06,18.148511907410565,WARTHOG,3.5291301969664346e-07,21.434184009085975,False
25,"['HANDLEBAR', 'HORSESHOE', 'PENCIL']",purple,MUSTACHES,TENOR,2.8493363060988486e-05,15.099014561968914,WALRUS,5.363497166399611e-07,20.830322674833763,False
26,"['DENMARK', 'GREECE', 'POLAND']",yellow,EUROPEAN COUNTRIES,PEKE,2.54671135735407e-06,18.582933114585078,PORTUGAL,1.2337425303599048e-08,26.2723834091247,False
26,"['COPY', 'ECHO', 'MIMIC']",green,SYNONYMS FOR IMITATE,TENOR,4.865248683927348e-06,17.649055020042493,PARROT,1.045216464490295e-07,23.189694908597666,False
26,"['CRUISE', 'HOLLAND', 'PETTY']",blue,TOMS,PEKE,2.406337671345682e-06,18.6647294652167,WAITS,7.336056029316751e-08,23.700420101503344,False
26,"['DILL', 'LIVID', 'MILD']",purple,WORDS SPELLED WITH ROMAN NUMERALS,MOUTH,8.057569971242629e-07,20.243151852633023,MIX,2.3481671007630212e-07,22.021961586741337,False
27,"['BERET', 'BOWLER', 'FEDORA']",yellow,HATS,WOLF,1.3907197171647567e-06,19.45573687798531,FEZ,1.4834165007471256e-08,26.006501037099284,False
27,"['HEART', 'KIDNEY', 'LIVER']",green,ORGANS,EYE,5.318282774169347e-07,20.84253617658985,LUNG,4.720874713370904e-08,24.33637056312944,False
27,"['COVER', 'JACKET', 'PAGE']",blue,PARTS OF A BOOK,KING,1.1098268259956967e-06,19.781233988936297,SPINE,1.8644303168002807e-07,22.354761786909762,False
27,"['ASS', 'KNIFE', 'POT']",purple,JACK ___,PEKE,1.3419943343251362e-06,19.507189988589566,RABBIT,9.597649608394931e-08,23.3127436150861,False
28,"['BASHFUL', 'DOC', 'GRUMPY']",yellow,SEVEN DWARFS,POM,3.0608107408625074e-06,18.317654727876608,HAPPY,1.213376322084514e-06,19.652541505423983,False
28,"['GIF', 'PDF', 'TIFF']",green,FILE EXTENSIONS,POM,2.2999458906269865e-06,18.72996864912947,ZIP,2.2999458906269865e-06,18.72996864912947,False
28,"['EMU', 'KIWI', 'OSTRICH']",blue,FLIGHTLESS BIRDS,POM,2.5785795969568426e-06,18.56499198922722,PENGUIN,3.621422450805767e-08,24.71886827735995,False
28,"['BANANA', 'COCONUT', 'MANGO']",purple,TROPICAL FRUITS,POM,3.0104044981271727e-06,18.341611219138418,PINEAPPLE,1.5156685151396232e-07,22.65354240137291,False
29,"['FLY', 'GNAT', 'MOTH']",yellow,WINGED INSECTS,POM,1.541128540338832e-06,19.307581372120715,WASP,9.760195496255619e-08,23.28851471390768,False
29,"['ADD', 'DIVIDE', 'MULTIPLY']",green,ARITHMETIC OPERATIONS,POM,1.350586330772785e-06,19.497982708080002,SUBTRACT,1.3973995294236374e-09,29.4146082944333,False
29,"['TANG', 'TETRA', 'SKATE']",blue,FISH,POM,1.0894855222431943e-06,19.80792154416611,SOLE,1.8390223033293296e-07,22.374557687611496,False
29,"['ALLEY', 'COOL', 'COPY']",purple,___ CAT,POM,1.3971564385428792e-06,19.44907500206699,LAP,1.3971564385428792e-06,19.44907500206699,False
30,"['BRONCO', 'COWBOY', 'PACKER']",yellow,NFL PLAYERS,NOSE,2.320390876775491e-06,18.717200717210005,RAVEN,1.1287772849755129e-07,23.078735803040857,False
30,"['BOWTIE', 'ELBOW', 'SHELL']",green,PASTA SHAPES,POM,1.2863183656008914e-06,19.56832081341597,SPIRAL,2.633195492762752e-07,21.856682030799583,False
30,"['HIP', 'KNEE', 'SHOULDER']",blue,JOINTS,NOSE,1.8932897773993318e-06,19.010673329744662,WRIST,3.6509311485133367e-07,21.38523220240532,False
30,"['AIRPLANE', 'MOTHER', 'OKLAHOMA']",purple,MOVIES WITH “!”,AMIGO,2.3294237507798243e-06,18.71159546196095,THEM,2.990401810620824e-07,21.67315731649627,False
31,"['CUCUMBER', 'EGGPLANT', 'PEPPER']",yellow,VEGETABLES THAT ARE ALSO FRUITS,POM,1.3781360621578642e-06,19.468850238241323,TOMATO,6.03430265755378e-08,23.982237700731357,False
31,"['CONE', 'CUBE', 'PYRAMID']",green,3-D SHAPES,POM,2.3675559077673825e-06,18.688170075243434,SPHERE,8.145765377776115e-07,20.227446403171655,False
31,"['MAC', 'PAD', 'PHONE']",blue,WORDS WITH “i”,POM,2.142493485735031e-06,18.83227775150311,POD,2.142493485735031e-06,18.83227775150311,False
31,"['JOB', 'LIMA', 'MOBILE']",purple,WORDS WITH TWO PRONUNCIATIONS,STOOGE,1.834885438256606e-06,19.055878578636367,POLISH,9.96641347228433e-08,23.25835033137082,False
32,"['HEEL', 'LACE', 'SOLE']",yellow,SHOE PARTS,POM,4.028097464470193e-06,17.921469977884474,TONGUE,1.4727845609741053e-07,22.694950255932834,False
32,"['CLUE', 'RISK', 'SORRY']",green,BOARD GAMES,TENOR,3.1514607599092415e-06,18.27554787004971,TROUBLE,1.4453544281423092e-06,19.400145257204414,False
32,"['BOND', 'HUNT', 'RYAN']",blue,FICTIONAL SPIES,TENOR,3.27412362821633e-06,18.220459771505006,SMART,2.0456481308883667e-07,22.220938653771064,False
32,"['BAND', 'CEMENT', 'DUCKIE']",purple,RUBBER ___,WOLF,1.5587135067107738e-06,19.291212785887485,SOUL,1.0101541825235927e-08,26.56084924692813,False
33,"['FERRY', 'JUNK', 'TUG']",yellow,BOATS,CHEEK,7.166650448198197e-06,17.090269580226558,YACHT,4.170598003838677e-06,17.8713143090793,False
33,"['CLUB', 'CUBAN', 'MELT']",green,SANDWICHES,CHEEK,6.1153341448516585e-06,17.319137238854434,SUB,8.858458855343088e-09,26.750297125313196,False
33,"['FLANK', 'LOIN', 'ROUND']",blue,CUTS OF BEEF,MOUTH,2.8133633804827696e-06,18.4392726628278,SHANK,8.807840004010359e-07,20.114708401884787,False
33,"['CHUCK', 'JOSH', 'ROB']",purple,NICKNAMES THAT ARE VERBS,MOUTH,3.5865919016941916e-06,18.088954970919357,SUE,1.5667843689115557e-09,29.249546213619347,False
34,"['AROMA', 'BOUQUET', 'FRAGRANCE']",yellow,PLEASANT SMELLS,POM,4.743783392768819e-06,17.68553043324141,SCENT,3.862130171228273e-08,24.626027968652735,False
34,"['BLUES', 'COUNTRY', 'FUNK']",green,MUSIC GENRES,POM,3.389588982827263e-06,18.170458224690258,SOUL,5.359161114881772e-09,27.47534566489228,False
34,"['PAPER', 'ROCK', 'SCISSORS']",blue,ROCK PAPER SCISSORS,MOUTH,3.7538118249358376e-06,18.023212238291315,SHOOT,3.2062141031019564e-07,21.572625895871322,False
34,"['BOAR', 'BUCK', 'BULL']",purple,MALE ANIMALS,POM,3.0839491955703124e-06,18.306789570576573,JACK,1.4714248663949547e-06,19.374354691773544,False
35,"['DIME', 'NICKEL', 'PENNY']",yellow,U.S. COINS,POM,6.545771611854434e-06,17.221005303054106,QUARTER,1.7658445585766458e-06,19.111210216394717,False
35,"['IRON', 'LEAD', 'TIN']",green,METAL ELEMENTS,POM,7.78663616074482e-06,16.9705683530156,ZINC,3.320142525353731e-07,21.522251490046692,False
35,"['CLOVER', 'HORSESHOE', 'MOON']",blue,LUCKY CHARMS MARSHMALLOWS,POM,8.585188879806083e-06,16.829718694507132,RAINBOW,5.120230284205718e-08,24.219216061684094,False
35,"['AGAIN', 'HALF', 'NECK']",purple,___ AND ___,LAB,2.192968622694025e-06,18.798683399450184,SO,2.9321341799004585e-07,21.701545538827258,False
36,"['KANGAROO', 'KOALA', 'WALLABY']",yellow,MARSUPIALS,POM,2.46695935857133e-06,18.628834620881342,WOMBAT,2.462419104176661e-07,21.953420334533973,False
36,"['CHUNKY', 'CRUNCH', 'MARS']",green,CHOCOLATE BARS,POM,1.1301598306090455e-06,19.755041751974737,MOUNDS,1.1301598306090455e-06,19.755041751974737,False
36,"['CHEDDAR', 'DOUGH', 'PAPER']",blue,SLANG FOR MONEY,POM,1.535372007310798e-06,19.31298031888887,STACKS,2.2638897423377102e-09,28.71854915732533,False
36,"['EYE', 'GUN', 'MOLE RAT']",purple,NAKED ___,POM,2.175969257223187e-06,18.809910395440408,TRUTH,1.7046482980731525e-07,22.484022550161626,False
37,"['DOLPHIN', 'MANATEE', 'OTTER']",yellow,MARINE MAMMALS,POM,2.2659171463601524e-06,18.751473459587046,SEAL,1.5994648947526002e-06,19.253979240966945,False
37,"['BRAKE', 'CHAIN', 'SADDLE']",green,BIKE PARTS,POM,2.2453823476098478e-06,18.764607438819525,SPOKE,1.5548229725936835e-07,22.616746335366898,False
37,"['HAWK', 'MOVE', 'PEDDLE']",blue,SYNONYMS FOR SELL,POM,2.400204493824276e-06,18.668411242799507,VEND,2.400204493824276e-06,18.668411242799507,False
37,"['CHIN', 'CUB', 'MALT']",purple,COUNTRIES WHEN “A” IS ADDED,POM,2.477299631209462e-06,18.622800195161837,TONG,1.1244033970569944e-07,23.084336946691675,False
38,"['ASH', 'CEDAR', 'MAPLE']",yellow,TREES,AMIGO,6.653026048297761e-06,17.19755788707317,PINE,1.481406997072554e-07,22.68652860765509,False
38,"['HILL', 'MOUNTAIN', 'PLATEAU']",green,LAND FORMATIONS,AMIGO,7.084730441420106e-06,17.106855606544265,VALLEY,1.2500373713919544e-07,22.931525437551453,False
38,"['EVERYTHING', 'ONION', 'PLAIN']",blue,BAGEL FLAVORS,POM,2.310449644937762e-06,18.723394922273837,POPPY,6.172511461954855e-07,20.627639053849542,False
38,"['ELM', 'FEAR', 'JUMP']",purple,STREETS ON SCREEN,AMIGO,8.132084985845722e-06,16.907943276913603,SESAME,1.3591340275453945e-09,29.45466512316361,False
39,"['CLOCK', 'HOURGLASS', 'SUNDIAL']",yellow,TIMEKEEPING DEVICES,AMIGO,1.8250391349283746e-06,19.063641168804537,WATCH,8.996796907467797e-08,23.40601330301516,False
39,"['BOB', 'CROP', 'PIXIE']",green,HAIRSTYLES,AMIGO,1.9732963210117305e-06,18.95096095398516,SHAG,5.916389795856958e-07,20.688779558017927,False
